,yr_range,sec_unique,year1,year2,n2_inflow,agi_inflow,n2_outflow,agi_outflow,n2_net,agi_net
0,1516,"Alachua County, FL",2015.0,2016.0,241,9280000,140,4519000,101,4761000
1,1516,"Alameda County, CA",2015.0,2016.0,395,18339000,439,19548000,-44,-1209000
2,1516,"Albany County, NY",2015.0,2016.0,37,1266000,37,1065000,0,201000
3,1516,"Alexandria city, VA",2015.0,2016.0,107,6278000,99,5410000,8,868000
4,1516,"Allegheny County, PA",2015.0,2016.0,494,17845000,334,11833000,160,6012000
5,1516,"Anderson County, SC",2015.0,2016.0,37,1348000,40,969000,-3,379000
6,1516,"Anne Arundel County, MD",2015.0,2016.0,199,5096000,138,3544000,61,1552000
7,1516,"Arapahoe County, CO",2015.0,2016.0,289,11250000,222,7250000,67,4000000
8,1516,"Arlington County, VA",2015.0,2016.0,139,10477000,143,8126000,-4,2351000
9,1516,"Baldwin County, GA",2015.0,2016.0,34,493000,52,453000,-18,40000
10,1516,"Baltimore County, MD",2015.0,2016.0,273,6832000,177,6622000,96,210000
11,1516,"Baltimore city, MD",2015.0,2016.0,311,11082000,192,5861000,119,5221000
12,1516,"Barrow County, GA",2015.0,2016.0,1406,31970000,2589,59931000,-1183,-27961000
13,1516,"Bartow County, GA",2015.0,2016.0,1478,32422000,2153,48423000,-675,-16001000
14,1516,"Bay County, FL",2015.0,2016.0,188,5477000,225,8713000,-37,-3236000
15,1516,"Beaufort County, SC",2015.0,2016.0,255,9677000,284,30182000,-29,-20505000
16,1516,"Bell County, TX",2015.0,2016.0,40,500000,53,704000,-13,-204000
17,1516,"Benton County, AR",2015.0,2016.0,69,4349000,45,4970000,24,-621000
18,1516,"Bergen County, NJ",2015.0,2016.0,459,30681000,150,7564000,309,23117000
19,1516,"Berkeley County, SC",2015.0,2016.0,75,2040000,85,2948000,-10,-908000
20,1516,"Bexar County, TX",2015.0,2016.0,423,13961000,420,11110000,3,2851000
21,1516,"Bibb County, GA",2015.0,2016.0,1238,29095000,702,14647000,536,14448000
22,1516,"Boulder County, CO",2015.0,2016.0,35,1843000,58,3852000,-23,-2009000
23,1516,"Brevard County, FL",2015.0,2016.0,253,9709000,294,11266000,-41,-1557000
24,1516,"Bronx County, NY",2015.0,2016.0,781,11919000,271,2692000,510,9227000
25,1516,"Broward County, FL",2015.0,2016.0,2514,61938000,1669,80334000,845,-18396000
26,1516,"Bulloch County, GA",2015.0,2016.0,270,5448000,172,3524000,98,1924000
27,1516,"Buncombe County, NC",2015.0,2016.0,161,5173000,236,12677000,-75,-7504000
28,1516,"Butts County, GA",2015.0,2016.0,380,6246000,558,11948000,-178,-5702000
29,1516,"Carroll County, GA",2015.0,2016.0,1737,35826000,2089,41278000,-352,-5452000
30,1516,"Charleston County, SC",2015.0,2016.0,433,15830000,567,29279000,-134,-13449000
31,1516,"Chatham County, GA",2015.0,2016.0,1478,35180000,1054,35617000,424,-437000
32,1516,"Chester County, PA",2015.0,2016.0,80,3852000,46,3340000,34,512000
33,1516,"Chesterfield County, VA",2015.0,2016.0,65,3707000,38,847000,27,2860000
34,1516,"Clark County, NV",2015.0,2016.0,505,15686000,526,21026000,-21,-5340000
35,1516,"Clarke County, GA",2015.0,2016.0,1251,35240000,1006,26333000,245,8907000
36,1516,"Clay County, FL",2015.0,2016.0,51,1146000,36,719000,15,427000
37,1516,"Collier County, FL",2015.0,2016.0,47,4471000,91,15929000,-44,-11458000
38,1516,"Collin County, TX",2015.0,2016.0,429,16503000,569,25628000,-140,-9125000
39,1516,"Columbia County, GA",2015.0,2016.0,378,14780000,309,8684000,69,6096000
40,1516,"Contra Costa County, CA",2015.0,2016.0,213,22915000,204,9041000,9,13874000
41,1516,"Cook County, IL",2015.0,2016.0,2778,102971000,1456,58853000,1322,44118000
42,1516,"Coweta County, GA",2015.0,2016.0,2539,84303000,3538,105478000,-999,-21175000
43,1516,"Cumberland County, NC",2015.0,2016.0,318,6056000,228,3572000,90,2484000
44,1516,"Cuyahoga County, OH",2015.0,2016.0,572,15989000,339,11963000,233,4026000
45,1516,"Dallas County, TX",2015.0,2016.0,919,38593000,1143,63207000,-224,-24614000
46,1516,"Dane County, WI",2015.0,2016.0,60,1529000,39,912000,21,617000
47,1516,"Davidson County, TN",2015.0,2016.0,871,31640000,789,43440000,82,-11800000
48,1516,"Dawson County, GA",2015.0,2016.0,655,16725000,1064,45997000,-409,-29272000
49,1516,"Delaware County, PA",2015.0,2016.0,69,2306000,35,2202000,34,104000
50,1516,"Denton County, TX",2015.0,2016.0,214,9690000,329,16430000,-115,-6740000
51,1516,"Denver County, CO",2015.0,2016.0,303,16821000,442,25978000,-139,-9157000
52,1516,"District of Columbia, DC",2015.0,2016.0,499,25148000,472,26826000,27,-1678000
53,1516,"Dougherty County, GA",2015.0,2016.0,563,9303000,298,4605000,265,4698000
54,1516,"DuPage County, IL",2015.0,2016.0,238,15923000,134,8319000,104,7604000
55,1516,"Durham County, NC",2015.0,2016.0,360,13218000,299,10142000,61,3076000
56,1516,"Duval County, FL",2015.0,2016.0,1418,36598000,1300,43391000,118,-6793000
57,1516,"East Baton Rouge Parish, LA",2015.0,2016.0,294,6155000,262,5364000,32,791000
58,1516,"El Paso County, CO",2015.0,2016.0,233,6068000,269,6957000,-36,-889000
59,1516,"Erie County, NY",2015.0,2016.0,112,2297000,37,1651000,75,646000
60,1516,"Escambia County, FL",2015.0,2016.0,242,6033000,256,6737000,-14,-704000
61,1516,"Essex County, NJ",2015.0,2016.0,629,17393000,192,4276000,437,13117000
62,1516,"Fairfax County, VA",2015.0,2016.0,606,28226000,534,23283000,72,4943000
63,1516,"Fairfield County, CT",2015.0,2016.0,314,22093000,198,16629000,116,5464000
64,1516,"Floyd County, GA",2015.0,2016.0,395,11339000,444,12050000,-49,-711000
65,1516,"Fort Bend County, TX",2015.0,2016.0,182,7066000,241,8280000,-59,-1214000
66,1516,"Franklin County, OH",2015.0,2016.0,591,21864000,563,12657000,28,9207000
67,1516,"Gilmer County, GA",2015.0,2016.0,162,4622000,167,6260000,-5,-1638000
68,1516,"Glynn County, GA",2015.0,2016.0,190,5725000,255,12977000,-65,-7252000
69,1516,"Gordon County, GA",2015.0,2016.0,139,2528000,170,4564000,-31,-2036000
70,1516,"Greene County, GA",2015.0,2016.0,37,1685000,59,6539000,-22,-4854000
71,1516,"Greenville County, SC",2015.0,2016.0,587,20962000,571,22677000,16,-1715000
72,1516,"Guilford County, NC",2015.0,2016.0,405,10528000,246,7780000,159,2748000
73,1516,"Habersham County, GA",2015.0,2016.0,52,1354000,74,1541000,-22,-187000
74,1516,"Hall County, GA",2015.0,2016.0,2786,81037000,4421,145393000,-1635,-64356000
75,1516,"Hamilton County, OH",2015.0,2016.0,459,17651000,292,8144000,167,9507000
76,1516,"Hamilton County, TN",2015.0,2016.0,476,20892000,581,21360000,-105,-468000
77,1516,"Haralson County, GA",2015.0,2016.0,150,3239000,218,3115000,-68,124000
78,1516,"Harris County, TX",2015.0,2016.0,1532,53524000,1544,83419000,-12,-29895000
79,1516,"Hartford County, CT",2015.0,2016.0,211,9389000,109,3940000,102,5449000
80,1516,"Hennepin County, MN",2015.0,2016.0,479,27282000,335,13060000,144,14222000
81,1516,"Henrico County, VA",2015.0,2016.0,202,9521000,89,3746000,113,5775000
82,1516,"Hillsborough County, FL",2015.0,2016.0,1342,47684000,1462,62331000,-120,-14647000
83,1516,"Honolulu County, HI",2015.0,2016.0,141,3636000,152,4392000,-11,-756000
84,1516,"Horry County, SC",2015.0,2016.0,105,1849000,86,2423000,19,-574000
85,1516,"Houston County, GA",2015.0,2016.0,758,16936000,519,9507000,239,7429000
86,1516,"Howard County, MD",2015.0,2016.0,100,3815000,69,2536000,31,1279000
87,1516,"Hudson County, NJ",2015.0,2016.0,342,15334000,218,10814000,124,4520000
88,1516,"Jackson County, GA",2015.0,2016.0,514,13991000,1279,38639000,-765,-24648000
89,1516,"Jackson County, MO",2015.0,2016.0,135,3215000,89,2610000,46,605000
90,1516,"Jasper County, GA",2015.0,2016.0,92,1637000,118,3175000,-26,-1538000
91,1516,"Jefferson County, AL",2015.0,2016.0,1119,38824000,702,23775000,417,15049000
92,1516,"Jefferson County, KY",2015.0,2016.0,356,12425000,292,13214000,64,-789000
