,y1_countyname,y1_state,y2_countyname,y2_state,n2_inflow,agi_perThou_inflow,agi_inflow,yr_range,year1,year2,mig_direction1,unique_tag,secondary_county
17846,Cherokee County Total Migration-US and Foreign,GA,Cherokee County,GA,18618,664321,664321000,1718,2017,2018,inflow,Cherokee County total migration-1718,"Cherokee County Total Migration-US and Foreign, GA"
17852,Cobb County,GA,Cherokee County,GA,4922,162785,162785000,1718,2017,2018,inflow,Cherokee County-Cobb County-GA-1718,"Cobb County, GA"
17853,Fulton County,GA,Cherokee County,GA,2496,111313,111313000,1718,2017,2018,inflow,Cherokee County-Fulton County-GA-1718,"Fulton County, GA"
17854,Forsyth County,GA,Cherokee County,GA,871,38178,38178000,1718,2017,2018,inflow,Cherokee County-Forsyth County-GA-1718,"Forsyth County, GA"
17855,Gwinnett County,GA,Cherokee County,GA,709,24520,24520000,1718,2017,2018,inflow,Cherokee County-Gwinnett County-GA-1718,"Gwinnett County, GA"
17856,Pickens County,GA,Cherokee County,GA,528,14480,14480000,1718,2017,2018,inflow,Cherokee County-Pickens County-GA-1718,"Pickens County, GA"
17857,DeKalb County,GA,Cherokee County,GA,408,13647,13647000,1718,2017,2018,inflow,Cherokee County-DeKalb County-GA-1718,"DeKalb County, GA"
17858,Bartow County,GA,Cherokee County,GA,457,12237,12237000,1718,2017,2018,inflow,Cherokee County-Bartow County-GA-1718,"Bartow County, GA"
17859,Paulding County,GA,Cherokee County,GA,420,11207,11207000,1718,2017,2018,inflow,Cherokee County-Paulding County-GA-1718,"Paulding County, GA"
17860,Gilmer County,GA,Cherokee County,GA,153,3277,3277000,1718,2017,2018,inflow,Cherokee County-Gilmer County-GA-1718,"Gilmer County, GA"
17861,Broward County,FL,Cherokee County,GA,143,4827,4827000,1718,2017,2018,inflow,Cherokee County-Broward County-FL-1718,"Broward County, FL"
17862,Henry County,GA,Cherokee County,GA,130,4625,4625000,1718,2017,2018,inflow,Cherokee County-Henry County-GA-1718,"Henry County, GA"
17863,Hall County,GA,Cherokee County,GA,97,4183,4183000,1718,2017,2018,inflow,Cherokee County-Hall County-GA-1718,"Hall County, GA"
17864,Miami-Dade County,FL,Cherokee County,GA,110,2105,2105000,1718,2017,2018,inflow,Cherokee County-Miami-Dade County-FL-1718,"Miami-Dade County, FL"
17865,Douglas County,GA,Cherokee County,GA,96,3002,3002000,1718,2017,2018,inflow,Cherokee County-Douglas County-GA-1718,"Douglas County, GA"
17866,Palm Beach County,FL,Cherokee County,GA,92,2758,2758000,1718,2017,2018,inflow,Cherokee County-Palm Beach County-FL-1718,"Palm Beach County, FL"
