,y1_countyname,y1_state,y2_countyname,y2_state,n2_outflow,agi_perThou_outflow,agi_outflow,yr_range,year1,year2,mig_direction2,unique_tag,secondary_county
16775,Cherokee County,GA,Cherokee County Total Migration-US and Foreign,GA,13935,486645,486645000,1819,2018,2019,outflow,Cherokee County total migration-1819,"Cherokee County Total Migration-US and Foreign, GA"
16780,Cherokee County,GA,Cobb County,GA,2985,99758,99758000,1819,2018,2019,outflow,Cherokee County-Cobb County-GA-1819,"Cobb County, GA"
16781,Cherokee County,GA,Fulton County,GA,1163,57443,57443000,1819,2018,2019,outflow,Cherokee County-Fulton County-GA-1819,"Fulton County, GA"
16782,Cherokee County,GA,Bartow County,GA,950,20559,20559000,1819,2018,2019,outflow,Cherokee County-Bartow County-GA-1819,"Bartow County, GA"
16783,Cherokee County,GA,Pickens County,GA,642,16292,16292000,1819,2018,2019,outflow,Cherokee County-Pickens County-GA-1819,"Pickens County, GA"
16784,Cherokee County,GA,Forsyth County,GA,614,23179,23179000,1819,2018,2019,outflow,Cherokee County-Forsyth County-GA-1819,"Forsyth County, GA"
16785,Cherokee County,GA,Gwinnett County,GA,426,12849,12849000,1819,2018,2019,outflow,Cherokee County-Gwinnett County-GA-1819,"Gwinnett County, GA"
16786,Cherokee County,GA,Paulding County,GA,495,12439,12439000,1819,2018,2019,outflow,Cherokee County-Paulding County-GA-1819,"Paulding County, GA"
16787,Cherokee County,GA,DeKalb County,GA,288,11419,11419000,1819,2018,2019,outflow,Cherokee County-DeKalb County-GA-1819,"DeKalb County, GA"
16788,Cherokee County,GA,Gilmer County,GA,169,6548,6548000,1819,2018,2019,outflow,Cherokee County-Gilmer County-GA-1819,"Gilmer County, GA"
16789,Cherokee County,GA,Hall County,GA,135,4126,4126000,1819,2018,2019,outflow,Cherokee County-Hall County-GA-1819,"Hall County, GA"
16790,Cherokee County,GA,Gordon County,GA,103,2495,2495000,1819,2018,2019,outflow,Cherokee County-Gordon County-GA-1819,"Gordon County, GA"
16791,Cherokee County,GA,Dawson County,GA,77,3461,3461000,1819,2018,2019,outflow,Cherokee County-Dawson County-GA-1819,"Dawson County, GA"
16792,Cherokee County,GA,Orange County,FL,74,2320,2320000,1819,2018,2019,outflow,Cherokee County-Orange County-FL-1819,"Orange County, FL"
16793,Cherokee County,GA,Coweta County,GA,76,2402,2402000,1819,2018,2019,outflow,Cherokee County-Coweta County-GA-1819,"Coweta County, GA"
16794,Cherokee County,GA,Maricopa County,AZ,58,4782,4782000,1819,2018,2019,outflow,Cherokee County-Maricopa County-AZ-1819,"Maricopa County, AZ"
16795,Cherokee County,GA,Carroll County,GA,62,1315,1315000,1819,2018,2019,outflow,Cherokee County-Carroll County-GA-1819,"Carroll County, GA"
16796,Cherokee County,GA,Douglas County,GA,59,834,834000,1819,2018,2019,outflow,Cherokee County-Douglas County-GA-1819,"Douglas County, GA"
16797,Cherokee County,GA,Floyd County,GA,79,979,979000,1819,2018,2019,outflow,Cherokee County-Floyd County-GA-1819,"Floyd County, GA"
16798,Cherokee County,GA,Henry County,GA,58,1158,1158000,1819,2018,2019,outflow,Cherokee County-Henry County-GA-1819,"Henry County, GA"
16799,Cherokee County,GA,Pinellas County,FL,63,3717,3717000,1819,2018,2019,outflow,Cherokee County-Pinellas County-FL-1819,"Pinellas County, FL"
