,unique_tag,secondary_county_y,yr_range,year1,year2,n2_inflow,agi_inflow,n2_outflow,agi_outflow,n2_net,agi_net,arc_county,unique_tag2
1,Cherokee County-Cobb County-GA-1718,"Cobb County, GA",1718,2017,2018,4922,162785000,3074,101314000,1848,61471000,Cherokee County,Cherokee County-Cobb County-GA
2,Cherokee County-Fulton County-GA-1718,"Fulton County, GA",1718,2017,2018,2496,111313000,1336,56432000,1160,54881000,Cherokee County,Cherokee County-Fulton County-GA
3,Cherokee County-Forsyth County-GA-1718,"Forsyth County, GA",1718,2017,2018,871,38178000,586,19402000,285,18776000,Cherokee County,Cherokee County-Forsyth County-GA
4,Cherokee County-Gwinnett County-GA-1718,"Gwinnett County, GA",1718,2017,2018,709,24520000,397,10440000,312,14080000,Cherokee County,Cherokee County-Gwinnett County-GA
5,Cherokee County-Pickens County-GA-1718,"Pickens County, GA",1718,2017,2018,528,14480000,636,15792000,-108,-1312000,Cherokee County,Cherokee County-Pickens County-GA
6,Cherokee County-DeKalb County-GA-1718,"DeKalb County, GA",1718,2017,2018,408,13647000,317,10897000,91,2750000,Cherokee County,Cherokee County-DeKalb County-GA
7,Cherokee County-Bartow County-GA-1718,"Bartow County, GA",1718,2017,2018,457,12237000,908,17692000,-451,-5455000,Cherokee County,Cherokee County-Bartow County-GA
8,Cherokee County-Paulding County-GA-1718,"Paulding County, GA",1718,2017,2018,420,11207000,645,16329000,-225,-5122000,Cherokee County,Cherokee County-Paulding County-GA
9,Cherokee County-Gilmer County-GA-1718,"Gilmer County, GA",1718,2017,2018,153,3277000,149,4488000,4,-1211000,Cherokee County,Cherokee County-Gilmer County-GA
10,Cherokee County-Broward County-FL-1718,"Broward County, FL",1718,2017,2018,143,4827000,54,1987000,89,2840000,Cherokee County,Cherokee County-Broward County-FL
11,Cherokee County-Henry County-GA-1718,"Henry County, GA",1718,2017,2018,130,4625000,54,1178000,76,3447000,Cherokee County,Cherokee County-Henry County-GA
12,Cherokee County-Hall County-GA-1718,"Hall County, GA",1718,2017,2018,97,4183000,72,3987000,25,196000,Cherokee County,Cherokee County-Hall County-GA
13,Cherokee County-Douglas County-GA-1718,"Douglas County, GA",1718,2017,2018,96,3002000,95,2079000,1,923000,Cherokee County,Cherokee County-Douglas County-GA
14,Cherokee County-Palm Beach County-FL-1718,"Palm Beach County, FL",1718,2017,2018,92,2758000,47,1553000,45,1205000,Cherokee County,Cherokee County-Palm Beach County-FL
15,Cherokee County-Clayton County-GA-1718,"Clayton County, GA",1718,2017,2018,72,1918000,71,1212000,1,706000,Cherokee County,Cherokee County-Clayton County-GA
16,Cherokee County-Floyd County-GA-1718,"Floyd County, GA",1718,2017,2018,73,2167000,63,1025000,10,1142000,Cherokee County,Cherokee County-Floyd County-GA
17,Cherokee County-Coweta County-GA-1718,"Coweta County, GA",1718,2017,2018,52,1824000,54,2023000,-2,-199000,Cherokee County,Cherokee County-Coweta County-GA
18,Cherokee County-Clarke County-GA-1718,"Clarke County, GA",1718,2017,2018,45,1717000,41,1012000,4,705000,Cherokee County,Cherokee County-Clarke County-GA
19,Cherokee County-Carroll County-GA-1718,"Carroll County, GA",1718,2017,2018,59,1755000,58,1233000,1,522000,Cherokee County,Cherokee County-Carroll County-GA
20,Cherokee County-Duval County-FL-1718,"Duval County, FL",1718,2017,2018,56,1794000,50,2240000,6,-446000,Cherokee County,Cherokee County-Duval County-FL
21,Cherokee County-Chatham County-GA-1718,"Chatham County, GA",1718,2017,2018,60,1193000,39,1461000,21,-268000,Cherokee County,Cherokee County-Chatham County-GA
22,Cherokee County-Harris County-TX-1718,"Harris County, TX",1718,2017,2018,63,2162000,43,1789000,20,373000,Cherokee County,Cherokee County-Harris County-TX
23,Cherokee County-Orange County-FL-1718,"Orange County, FL",1718,2017,2018,60,2161000,66,2231000,-6,-70000,Cherokee County,Cherokee County-Orange County-FL
24,Cherokee County-Dawson County-GA-1718,"Dawson County, GA",1718,2017,2018,50,1411000,99,3021000,-49,-1610000,Cherokee County,Cherokee County-Dawson County-GA
25,Cherokee County-Hillsborough County-FL-1718,"Hillsborough County, FL",1718,2017,2018,55,2094000,33,1149000,22,945000,Cherokee County,Cherokee County-Hillsborough County-FL
26,Cherokee County-Gordon County-GA-1718,"Gordon County, GA",1718,2017,2018,56,1410000,60,1642000,-4,-232000,Cherokee County,Cherokee County-Gordon County-GA
27,Cherokee County-Mecklenburg County-NC-1718,"Mecklenburg County, NC",1718,2017,2018,53,1547000,60,3234000,-7,-1687000,Cherokee County,Cherokee County-Mecklenburg County-NC
